region	zone	woreda	kebele	village_id	_parent_index	crop	landscape	gender	age	education_years	yrsexp	extension_received	totalHH	hhsize_adultequiv	median_dist_fert	plot_owned	plotareaha	plotareaha2	use_infert	use_orgfert	hired_labour	use_impseed	use_rowplant	use_pesticide	plt_herbicideUse	plt_draftanimals	plt_intercrop	plt_croprotation	N_rate	P_rate	N_rate2	N_P	N_footslope	N_midslope	N_hillslope	ctot	ntot	oc	p	k	ph	sand	silt	clay	rain_sum	rain_cv	lnrain	price_dap	price_nps	price_npsb	price_npsZnb	price_urea	N_price_market	teff_price_market	wheat_price_market	Teff_N_ratio	Wheat_N_ratio	yield
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	108	"Teff"	"Midslope"	1.0	45	8	25	1	6	3.1	20.0	1.0	0.5	0.25	1.0	0.0	0.0	0.0	0.0	0.0	1	1	0	1	65.0	17.0	4225.0	1105.0	0.0	65.0	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			37.8		37.8	122.76	54.66	47.98	0.45		600.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	152	"Wheat"	"Hillslope"	0.0	42	8	15	1	8	4.1	20.0	1.0	0.75	0.5625	1.0	0.0	0.0	1.0	1.0	0.0	1	1	0	1	49.666668	17.0	2466.7778	844.3334	0.0	0.0	49.666668	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			33.333332		39.0	122.76	54.66	47.98		0.39	9.333333
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	86	"Teff"	"Midslope"	1.0	20	8	8	1	8	4.1	20.0	1.0	0.375	0.140625	1.0	0.0	0.0	0.0	0.0	0.0	1	1	0	1	43.333332	11.333333	1877.7777	491.11108	0.0	43.333332	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			36.8		36.8	122.76	54.66	47.98	0.45		533.3333
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	92	"Wheat"	"Midslope"	1.0	42	12	25	1	9	4.6	20.0	1.0	0.5	0.25	1.0	0.0	0.0	0.0	1.0	1.0	1	1	0	1	32.5	8.5	1056.25	276.25	0.0	32.5	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			38.0		38.0	122.76	54.66	47.98		0.39	2000.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	475	"Teff"	"Midslope"	0.0	30	7	10	1	8	3.7	20.0	1.0	0.25	0.0625	1.0	0.0	0.0	0.0	0.0	0.0	1	1	0	1	65.0	17.0	4225.0	1105.0	0.0	65.0	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			36.0		37.0	122.76	54.66	47.98	0.45		600.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	475	"Wheat"	"Midslope"	0.0	30	7	10	1	8	3.7	20.0	1.0	0.5	0.25	1.0	0.0	0.0	1.0	0.0	1.0	1	1	0	1	42.0	17.0	1764.0	714.0	0.0	42.0	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			18.0		37.0	122.76	54.66	47.98		0.39	1800.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	120	"Wheat"	"Midslope"	1.0	75	0	50	1	6	3.1	20.0	1.0	0.25	0.0625	1.0	0.0	0.0	1.0	0.0	0.0	1	1	0	0	130.0	34.0	16900.0	4420.0	0.0	130.0	0.0	21.8	43309	20.8	8.9	222	5.8	33.4	26.8	37.3	627.18835	2.3876572	6.441247			50.0		50.0	122.76	54.66	47.98		0.39	1200.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	196	"Teff"	"Midslope"	1.0	35	2	32	1	4	2.1	20.0	1.0	0.5	0.25	1.0	0.0	0.0	0.0	0.0	0.0	0	0	0	1	32.5	8.5	1056.25	276.25	0.0	32.5	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			60.0		52.0	122.76	54.66	47.98	0.45		3.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	98	"Wheat"	"Midslope"	1.0	50	2	41	1	7	3.2	20.0	1.0	0.5	0.25	1.0	0.0	1.0	1.0	1.0	1.0	1	1	0	1	111.0	17.0	12321.0	1887.0	0.0	111.0	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			34.0		34.0	122.76	54.66	47.98		0.39	16.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	108	"Wheat"	"Midslope"	1.0	45	8	25	1	6	3.1	20.0	1.0	0.5	0.25	1.0	0.0	0.0	1.0	0.0	1.0	1	1	0	1	65.0	17.0	4225.0	1105.0	0.0	65.0	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			36.4		36.2	122.76	54.66	47.98		0.39	1400.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	47	"Wheat"	"Midslope"	1.0	38	10	15	1	7	3.2	20.0	0.0	0.25	0.0625	1.0	0.0	1.0	1.0	1.0	1.0	1	0	0	0	130.0	34.0	16900.0	4420.0	0.0	130.0	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			70.0		38.0	122.76	54.66	47.98		0.39	2000.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	86	"Wheat"	"Midslope"	1.0	20	8	8	1	8	4.1	20.0	1.0	0.25	0.0625	1.0	0.0	0.0	1.0	0.0	1.0	1	1	0	1	130.0	34.0	16900.0	4420.0	0.0	130.0	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			37.0		37.0	122.76	54.66	47.98		0.39	2000.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	98	"Wheat"	"Footslope"	1.0	50	2	41	1	7	3.2	20.0	0.0	0.5	0.25	1.0	0.0	1.0	0.0	1.0	1.0	1	1	0	1	195.0	51.0	38025.0	9945.0	195.0	0.0	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			17.0		24.95	122.76	54.66	47.98		0.39	18.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	196	"Wheat"	"Midslope"	1.0	35	2	32	1	4	2.1	20.0	1.0	0.5	0.25	1.0	0.0	0.0	0.0	1.0	0.0	0	1	0	0	32.5	8.5	1056.25	276.25	0.0	32.5	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			50.0		50.0	122.76	54.66	47.98		0.39	3.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	47	"Teff"	"Midslope"	1.0	38	10	15	1	7	3.2	20.0	1.0	0.25	0.0625	1.0	0.0	1.0	1.0	0.0	1.0	0	1	0	0	111.0	17.0	12321.0	1887.0	0.0	111.0	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			48.0		70.0	122.76	54.66	47.98	0.45		800.0
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	92	"Wheat"	"Midslope"	1.0	42	12	25	1	9	4.6	20.0	0.0	0.75	0.5625	1.0	0.0	1.0	0.0	1.0	1.0	1	1	0	1	43.333332	11.333333	1877.7777	491.11108	0.0	43.333332	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			38.0		38.0	122.76	54.66	47.98		0.39	2933.3333
"Southern_Nations,_Nationalities_and_Peoples"	"Hadiya"	"Anlemo"	"Samen_Daresh"	2	195	"Wheat"	"Footslope"	0.0	50	0	32	1	10	4.5	20.0	0.0	0.125	0.015625	1.0	0.0	0.0	0.0	1.0	0.0	1	0	0	0	168.0	68.0	28224.0	11424.0	168.0	0.0	0.0	21.9	47552	20.8	9.3	224	5.82	33.6	26.62	38.2	627.18835	2.3876572	6.441247			39.6		39.2	122.76	54.66	47.98		0.39	8.0
"Amhara"	"North_Shewa"	"Merhabete"	"Harogenda"	3	582	"Sorghum"	"Hillslope"	1.0	32	0	15	1	6	2.9	60.0	1.0	0.5	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0	1	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.5	5325	11.7	11.2	177	6.91	40.2	24.19	32.9	712.6659	1.4862918	6.5690126						114.67	53.46	46.65			1600.0
"Amhara"	"North_Shewa"	"Merhabete"	"Harogenda"	3	559	"Teff"	"Midslope"	1.0	54	0	40	1	6	2.9	60.0	0.0	0.25	0.0625	1.0	0.0	0.0	0.0	0.0	0.0	1	1	0	1	94.4	68.0	8911.36	6419.2	0.0	94.4	0.0	24.5	5325	11.7	11.2	177	6.91	40.2	24.19	32.9	712.6659	1.4862918	6.5690126			32.77		40.3	114.67	53.46	46.65	0.47		1000.0
"Amhara"	"North_Shewa"	"Merhabete"	"Harogenda"	3	592	"Teff"	"Midslope"	1.0	42	0	28	1	7	3.0	60.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1	0	0	1	9.5	8.5	90.25	80.75	0.0	9.5	0.0	24.5	5325	11.7	11.2	177	6.91	40.2	24.19	32.9	712.6659	1.4862918	6.5690126			33.0			114.67	53.46	46.65	0.47		1100.0
"Amhara"	"North_Shewa"	"Merhabete"	"Harogenda"	3	617	"Teff"	"Midslope"	1.0	35	4	15	1	2	1.5	60.0	0.0	0.75	0.5625	1.0	0.0	1.0	1.0	0.0	0.0	1	1	0	1	137.33333	68.0	18860.443	9338.666	0.0	137.33333	0.0	24.2	4765	11.9	12.0	172	6.91	39.7	24.92	33.2	793.62885	1.5778887	6.6766157			32.736668		40.34	114.67	53.46	46.65	0.47		13.333333
"Amhara"	"North_Shewa"	"Merhabete"	"Harogenda"	3	557	"Sorghum"	"Midslope"	1.0	52	6	38	1	9	4.4	60.0	0.0	0.5	0.25	1.0	0.0	1.0	0.0	0.0	0.0	1	1	0	1	55.5	8.5	3080.25	471.75	0.0	55.5	0.0	24.5	5325	11.7	11.2	177	6.91	40.2	24.19	32.9	712.6659	1.4862918	6.5690126			32.8		40.34	114.67	53.46	46.65			1000.0
"Amhara"	"North_Shewa"	"Merhabete"	"Harogenda"	3	558	"Teff"	"Footslope"	1.0	65	4	40	1	5	2.4	60.0	0.0	0.5	0.25	1.0	1.0	0.0	0.0	0.0	0.0	1	1	0	1	9.5	8.5	90.25	80.75	9.5	0.0	0.0	24.5	5325	11.7	11.2	177	6.91	40.2	24.19	32.9	712.6659	1.4862918	6.5690126			32.8			114.67	53.46	46.65	0.47		1000.0
"Amhara"	"North_Shewa"	"Merhabete"	"Harogenda"	3	558	"Teff"	"Footslope"	1.0	65	4	40	1	5	2.4	60.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0	1	0	1	9.5	8.5	90.25	80.75	9.5	0.0	0.0	24.5	5325	11.7	11.2	177	6.91	40.2	24.19	32.9	712.6659	1.4862918	6.5690126			32.8			114.67	53.46	46.65	0.47		800.0
"Amhara"	"North_Shewa"	"Merhabete"	"Harogenda"	3	546	"Teff"	"Hillslope"	1.0	55	0	40	1	6	2.9	60.0	1.0	0.5	0.25	1.0	0.0	1.0	0.0	0.0	0.0	1	1	0	1	38.0	34.0	1444.0	1292.0	0.0	0.0	38.0	24.5	5325	11.7	11.2	177	6.91	40.2	24.19	32.9	712.6659	1.4862918	6.5690126			32.77			114.67	53.46	46.65	0.47		22.0
"Amhara"	"North_Shewa"	"Merhabete"	"Harogenda"	3	615	"Teff"	"Midslope"	1.0	31	5	10	1	3	1.8	60.0	0.0	1.25	1.5625	1.0	0.0	1.0	1.0	0.0	0.0	1	0	0	0	26.0	6.8	676.0	176.8	0.0	26.0	0.0	24.5	5325	11.7	11.2	177	6.91	40.2	24.19	32.9	712.6659	1.4862918	6.5690126			32.78		40.34	114.67	53.46	46.65	0.47		560.0
"Amhara"	"North_Shewa"	"Merhabete"	"Harogenda"	3	557	"Sorghum"	"Hillslope"	1.0	52	6	38	1	9	4.4	60.0	1.0	0.25	0.0625	1.0	0.0	1.0	0.0	0.0	0.0	1	1	0	1	222.0	34.0	49284.0	7548.0	0.0	0.0	222.0	24.5	5325	11.7	11.2	177	6.91	40.2	24.19	32.9	712.6659	1.4862918	6.5690126			32.76		40.34	114.67	53.46	46.65			1600.0
"Amhara"	"North_Shewa"	"Merhabete"	"Harogenda"	3	559	"Teff"	"Footslope"	1.0	54	0	40	1	6	2.9	60.0	0.0	0.5	0.25	1.0	0.0	0.0	0.0	0.0	0.0	1	1	0	1	47.2	34.0	2227.84	1604.8	47.2	0.0	0.0	24.5	5325	11.7	11.2	177	6.91	40.2	24.19	32.9	712.6659	1.4862918	6.5690126			32.77		40.3	114.67	53.46	46.65	0.47		1000.0
"Amhara"	"North_Shewa"	"Merhabete"	"Harogenda"	3	615	"Sorghum"	"Midslope"	1.0	31	5	10	1	3	1.8	60.0	0.0	1.25	1.5625	1.0	0.0	1.0	0.0	0.0	0.0	1	1	0	1	92.0	0.0	8464.0	0.0	0.0	92.0	0.0	24.5	5325	11.7	11.2	177	6.91	40.2	24.19	32.9	712.6659	1.4862918	6.5690126					32.72984	114.67	53.46	46.65			2400.0
