id;Category;classification_code;;situationtext
3184;Meritocrat - margin does not matter;2;;Y moderately outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  Because I don't think it's reasonable for one person to get all the money, and the other person to get none -- even if Participant X didn't solve any problems, they still put in a certain amount of time and effort that deserves to be rewarded.
2859;Misunderstand;10;Talked about his own winnings;Y barely outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I'm  not really interested in sharing my winnings.
3018;Meritocrats - margin matters;3;;Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I wanted the participants to get paid according to how well they did in relation to eachother, not just if one got more answers that the other
1417;Misunderstand;10;talks about what he himself will end up with;Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  If I distribute 0, will receive zero and I will get 2.85
853;Egalitarian;4;Justifies by both of them getting the same;Y strongly outperformed X. The DM gave a low share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  Since X earned 2.1, I decided to simply give half of it to Y. That way they both have an equal amount.
402;Meritocrats - margin does not matter;2;;Y slightly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Candidate X had nothing even after completing 10 problems
2135;Meritocrats - margin does not matter;2;;Y slightly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I would award 0.10 only, and keep in mind , thats being generous.  I think the participant that provided the correct answers should be awarded the amount deserved.
2342;Meritocrats - margin matters;3;;Y barely outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  I felt that participant X did solve a fair amount of problems, and the fact they earned nothing because they were one correct answer short of meeting participant Y's correct answers doesn't feel entirely fair to me. I decided to give them a decent bonus, but I did not give them a majority of participant Y's earnings because that did not feel fair for participant Y.
2391;Libertarian;1;Justified by rules;Y barely outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  Because the description participant x and y received clearly said that if you answered fewer questions correctly than the other participant, then you would receive nothing. Since participant x answered fewer questions correctly, I chose to stay with the determined payout in order to uphold the rules.
559;Meritocrats - margin does not matter;2;;Y slightly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  the fact that the participant participated should be remunerated
14;No reason;9;Hard to understand the meaning;Y strongly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  the reward effort is slightly while fairness and merit based performance
2430;Meritocrats - margin matters;3;;Y strongly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Participant X scored a little below Participant Y and according to the the instructions participant who scored lower would not get anything so i do not think it will be nice to give out from the other participant price.
2347;Meritocrats - margin matters;3;;Y slightly outperformed X. The DM gave an equal share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  The person may not have gotten as many answers correct, but they at least deserve an almost even amount of compensation for their time and efforts
2218;Meritocrats - margin does not matter;2;;Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Although person X did not get as many as person Y, I feel that person X at least tried their best and should be compensated even a little. Person Y clearly just knew more than person X which may be an unfair advantage.
857;Meritocrats - margin does not matter;2;;Y slightly outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  Both worked hard and deserve some compensation for their efforts.
2804;Meritocrats - margin matters;3;;Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  He still answered a majority of the questions, so, there should be some reward
1579;Libertarian;1;refers to the process as fair;Y strongly outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I think participant y won their earnings fairly
1342;No reason;9;No meaning ful justification;Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  i think that the they both have the same amount of things
1222;Meritocrats - margin matters;3;;Y slightly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Participant Y solved only 3 more problems than participant X
2948;Meritocrats - margin does not matter;2;;Y slightly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  So the participant that didnt receive anything received a little
2669;Meritocrats - margin does not matter;2;;Y strongly outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  should get something for just showing up
1705;Meritocrats - margin does not matter;2;;Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I feel for trying participant X deserves something
746;Meritocrats - margin does not matter;2;;Y moderately outperformed X. The DM gave an equal share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  I was just trying to make it even. They both tried hard.
2485;Meritocrats - margin does not matter;2;;Y slightly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  Solved almost as many problems so should receive something.
1365;No reason;9;No meaning ful justification;Y moderately outperformed X. The DM gave a Moderate share to Y. In the baseline treatment. Motivation provided by DM:  Because the participant get the score of 11 which is a trial.
1314;Libertarian;1;Justification with reference to the  rules;Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The participants were told upfront how earnings would be determined and paid out.  They did not have to participate.  Everything was clear and fair.
1768;Meritocrats - margin matters;3;;Y moderately outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I did not feel they should be penalized for not getting as many answers. I redistributed the payment to give the person with more correct answers double the amount, 0.10 for correct answers to the person with the most and 0.05 for the correct answers to the person with less correct. I based this off of what I would feel is fair if I were the second person.
2234;Meritocrats - margin does not matter;2;;Y strongly outperformed X. The DM gave a high share to Y. In the baseline treatment. Motivation provided by DM:  I think the other participant should earn at least a little something. I decided to give the cents of the participant Y's earnings to X. Participant Y will get a solid number and X will get at least something.
1761;Egalitarian;4;they were in the same situation;Y strongly outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  They played the game together they get the share equally.
515;Compensate;5;no reference to what the loser has done, just that he deserves compensation;Y slightly outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  i want participant Y to have a share also
2428;No reason;9;Only says that it is logical;Y strongly outperformed X. The DM gave a low share to Y. In the baseline treatment. Motivation provided by DM:  just sounded logical
2212;Libertarian;1;;Y strongly outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  I don't see any reason to redistribute funds that were earned according to a protocol understood by both parties.
2166;Libertarian;1;;Y moderately outperformed X. The DM gave all to Y. In the baseline treatment. Motivation provided by DM:  The instructions were clear that they would only get a bonus if they solved at least as many as the other participant. I see no reason to change that.
1338;Meritocrat - margin does not matter;2;;Y moderately outperformed X. The DM gave all to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  The person solved less problems than the other party and that is the payment
176;Meritocrat - margin does not matter;2;;Y moderately outperformed X. The DM gave a high share to Y. In the 'Show Distribution' treatment. Motivation provided by DM:  X should be compensated for trying.
1301;Meritocrat - margin does not matter;2;;Y strongly outperformed X. The DM gave an equal share to Y. In the baseline treatment. Motivation provided by DM:  Participant X should earn at least something for participating, but not more than participant Y
