ResponseId;conseq;wtp_1;wtp_2;wtp_explain_diff;wtp_explain_same;wtp_explain_pos;code_conseq;comment;coder
R_CgiCeu4xRHLChS9;chicken;20;20;;Because, I cannot control market changes, but I can choose to support more humane animal practices.;The impact would be the same for my 20 chickens.;deont: ownpart;;CB
R_55xvlRu9HDVFCWR;chicken;30;20;I am willing to pay more to pressure the industry to change their behavior than I am if there is no change in behaviour.;;Because I am paying people who choose to do the right thing, even though the impact is zero.;conseq, conseqstill;;CB
R_29KsKPcmRsDPNSh;chicken;1;0;If my action doesnt have any consequence then I do not wish to spend more;;;conseq;;CB
R_1jVt6P9mly5xmqy;chicken;40;0;My choice did not have an impact;;;conseq;;CB
R_Dd8cBmCO67QQ0OB;chicken;100;20;I'm willing to pay a lot more if I know for certain that it is making a difference. I wouldn't be willing to pay nearly as much extra if it was only raising the overall cost of the chicken.;;It would not have a positive effect, but from a moral standpoint it would have some significance to me. I'd be willing to pay for that.;conseq, deont: principle;;CB
R_3dSW2iJYKXeimpD;chicken;20;5;It doesn't feel like I'm making any difference in situation 2 so I'm not willing to spend as much.;;It still seems like the right thing to do.;conseq, deont;;CB
R_3FRnipyufH4nil2;chicken;20;0;If my actions don't change the outcome, then I would rather not spend more money. It does not make any sense for me to spend more if it does not have any impact other than on my budget.;;;conseq;;CB
R_3dXLgnGffnRBDQV;chicken;9;0;If there is no difference in the overall number, what good is it doing. I'd Pay more knowing it's also contributing to a better cause;;;conseq;;CB
R_2ARVoC5ksXCmDsN;chicken;5;0;Why would I pay for no change? That would make the people who have bad conditions more money? That is very flawed. Or else it rewards those who are trying to raise better chickens but it does not work? That is not worth rewarding. Just do not eat chicken if you are worried. Or raise it yourself.;;;conseq;;CB
R_wNvXQNyiXzF6slX;chicken;20;20;;I would be willing to pay an extra $1 per chicken to see that the chickens are raised in better conditions.;I desire to try to impact the living conditions of the chickens, whether I consume them or not.;other;;CB
R_1jm4tFGMKgMouzi;chicken;100;0;I originally said I would pay $100 to improve the welfare of the chickens, which I would be happy to do so if it led to a better quality of life and more humane processing. But in the second scenerio it appears that my money wouldn't really change anything, so I am reluctant to spend it on such a cause.;;;conseq;;CB
R_3n0p9SRtpY8q4bh;chicken;1;1;;"My purchasing decisions are primarily based on the price of products, but I would be willing to give away a dollar if it improves the life of the chickens regardless of the impact.

";"My purchasing decisions are primarily based on the price of products, but I would be willing to give away a dollar if it improves the life of the chickens regardless of the impact.
";conseqstill;;CB
R_3PGfoQOixCl5AsL;chicken;20;20;;Because I cannot always control or know about external factors. In real world situation I would keep doing my part;Because I just want to do my own part and it sets a good example which others might follow. Also because its decreasing the overall demand for chicken which helps environment in some way if not chicken lives;deont: ownpart, conseqstill;;CB
R_3ijK7cwEHKdAi2T;chicken;1;0,5;The price of certification that my chickens were treated well may come with a price of increasing what others must pay for their chicken meals.  I don't want to price some unfortunate souls out of the opportunity to enjoy a chicken meal.;;I am not as willing.   I am half as willing.  I do like chickens, and keep 9 as pets.  I like my fellow man too.;other;;CB
R_1IRu1Y7bhyF3X7t;chicken;0;0;;;;;;CB
R_3Dtmv02sl9kQKcp;chicken;2;0;I would prefer to only pay a higher price if it actually helps the animals.  If I am paying more money, but getting the same results, then it isn't worth it.;;;conseq;;CB
R_6P7f1zmD4EQ8Hq9;chicken;20;10;"The issue ultimately is that if a product becomes too expensive for people to purchase and consume, they simply will not buy it. This means that the intended outcome of helping the welfare of the chickens affected is considered ""ineffective"" and companies will double down on the original bad conditions to cut costs.";;"Ultimately, it's 0.50 per chicken. That is not unusual for ""better"" chicken in stores. If nothing else, I'd try it at least once to see if there's a difference.";other;;CB
R_2CIM15C8s7oz1Os;chicken;5;3;I would spend more buying well-treated chickens if it would save more standard chickens because I feel like my personal food choice would be making a real world difference. Hopefully something that would help steer the chicken business into more ethical practices.;;I would do it for intrinsic reasons. It would make me feel better that the chicken I'm buying isn't mistreated.;conseq, deont: feelgood;;CB
R_22sNlBi2ctL8KSp;chicken;5;0;The difference in change is significantly different.;;;conseq;;CB
R_ctC1hRfcd13148V;chicken;50;25;The original amount was made because I thought it would help overall but it seems it is not as good as I thought;;If it helps some chickens live better than that is still good;conseqstill;;CB
R_2SxbB9fRbhmV8Pe;chicken;0;0;;;;;;CB
R_2YqRfA7yL6C3BdB;chicken;50;50;;Because though the overall number of chickens doesn't change, I know that there is still improvement for 20 which is better than none.;Because my personal/individual impact would be better conditions for 20 vs 0.;deont;;CB
R_2VKDuNcGyxVWS9q;chicken;25;0;If paying more doesn't change the outcome for the animals, why would I pay more??;;;conseq;;CB
R_2ZEyiRRsLzWhdu5;chicken;10;0;any;;;other;;CB
R_2eQkwU8wFBBRGos;chicken;20;1;I payed less on the 2nd situation because why pay if there won't be any standards change.;;i would pay at least 1 dollar so i feel i'm still contributing;conseq, deont;;CB
R_2XgMhsXcUBH25iP;chicken;0;0;;;;;;CB
R_2Sjmi7U9N0uWGdt;chicken;0;0;;;;;;CB
R_cCFDeZLGHljw1xL;chicken;2;1,5;I was not aware of the argument that paying more for an item raises it price even more.  I was more under the impression that a desirable item starts out high priced and mostly stays there.  With learning something new, I chose to lower my amount with the hope that there will be 20 happier chickens in the world.;;"I don't know if the impact will be zero, so I'm still willing to pay more.  The argument is that no impact ""could"" happen not that it would not.  So I will pay more until I have more factual information on the effect of paying more.";conseqstill;;CB
R_2CpsIt8qJIHW4DC;chicken;20;20;;Figuring $1 additional per chicken, whether there is a true benefit or not, as it may still help in the longterm.;It may benefit in the longterm, as the increased demand and price may set a standard in the welfare.;conseqstill;;CB
R_3EXYGyH5K6KYM5H;chicken;3;1;We are at out budget limit, due to increased housing prices, which in turn raise the property tax and insurance costs. We have to start dropping items off our shopping lists and driving less, etc.;;We know that there are so many toxins in the environment, and the Republicans are trying to make sure their corporate friends can introduce more into our air and water. Something must be done to counteract this.;other;;CB
R_1f8btPelwgzhx1A;chicken;20;30;I need to make up the difference in numbers between the two situations.;;Because at the time I made the decision, I didn't know the impact would be zero.;other;;CB
R_3scXdY6KH6J7FK9;chicken;40;40;;I am paying to buy chickens that were raised in a better manner. I wish that it would make a difference any more chickens would be farmed in a more ethical manner, but either way I would prefer to buy the chickens that suffered less.;I just feel it is the right thing to do, to support the farmers raising their animals in a more ethical way.;deont: principle;;CB
R_1jy5fwj0EBoVzK4;chicken;40;40;;"
 The ethical matter, I suppose, would be for the betterment of the chickens' lives and not for the value to the consumer or producer. If I felt that animals are being treated cruelly, the market's response in demand is beyond my control."; The market for well treated chickens is established and the value has factors beyond the monetary.;deont: principle, conseqstill;;CB
R_1qg1lspRb4QYIc3;chicken;0;0;;;;;;CB
R_2PjIKJXb9jIBXZG;chicken;20;0;In situation 1, I was willing to pay more to improved the standard of living of more chickens. I believed by paying more it would help them.  But in situation 2, I learn that my action had no effect to their standard of living, so I figure, why throw money at something that can't be fix.;;;conseq;;CB
R_2dz48Ms9ioYU7eH;chicken;5;5;;I would want to pay more because the chickens raised in better conditions will taste better and have better nutrition.;same anwer above.....better taste and nutrition.;other;;CB
R_3MlFwjhKtRjGoM2;chicken;200;200;;I still feel it is the right thing to do to pay more for chickens that were raised better and have more rights as an animal.;Again, I feel like in my own reality that it makes more sense to pay for chickens to be raised better and I still feel like I am making an impact on the chickens even though it says there are no positive consequences.;deont: principle, conseqstill;;CB
R_3MRp4wRIlRHzem8;chicken;0;0;;;;;;CB
R_xu5jPGpLprpx26t;chicken;20;20;;Well since the overall number of chickens raised under better welfare standards does not change - it didn't matter how much.;Because the outcome would not matter.;deont;;CB
R_TdZqlYmyDGRXu4p;chicken;80;0;If paying the premium does not help more chickens to be raised in better welfare standards, then why do it?   It does not change the status for the chickens who are in worse welfare standards.;;;conseq;;CB
R_viYCXfsaaHYg2NX;chicken;25;20;I gave that answer because I want to help bring the price of the chicken to an acceptable price for more people to be able to buy;;I want to eat healthy chicken and by paying more more chickens will be well taken care of;other;;CB
R_vuzddgpGCgUDYw9;chicken;5;5;;Effect is same on me either way I think.;It could maybe have long term impact, if not I'm still doing the more right thing. That's all I can do.;conseqstill, deont;;CB
R_2gJi97iSbc8O6WJ;chicken;0;0;;;;;;CB
R_1dsplB5ICmW8wvC;chicken;25;25;;The value to me remains the same. I want humane raised chickens, so I choose to increase the costs to myself my the same amount regardless of how that effects the larger market.;It is about the desirability of the product rather than the social impact of the product. People are not rational actors who think about how their choices effect global economic. They, and here I am speaking about my decision making, is focused on marketing and desirability. If this wasn't the case companies wouldn't spend billions of dollars on marketing,.;deont;;CB
R_1FLInyN5nRd4y10;chicken;10;0;If the number of chickens raised doesn't change, then there is minimal incentive for me to pay more. I'd like to see results due to additional payment.;;;conseq;;CB
R_2rZajRDyIzdWu9a;chicken;2;0;I wouldn't want to pay extra if it wasn't giving the chickens better living conditions. I would pay a little more if it did though.;;;conseq;;CB
R_p00ePo6RIOfVY0F;chicken;1;0;If me paying more doesn't positively affect the chickens, why would I pay extra?;;;conseq;;CB
R_WB8rTw5BmkaQ8Zr;chicken;25;25;;I have $25.00 extra to spend on the chicken. I can't help it if the other people can't afford it. I thought I was doing a good thing by giving extra.;Because I am trying to help the chickens live better on their farms.;deont;;CB
R_un8vXEH24txUrqp;chicken;40;40;;In both situations I would be willing to pay the same for better welfare standard.;Because of better welfare standards, it doesn't matter if the number of chicken raised increases or stays the same. Even with zero impact, I would feel relieved that they are being better taken care of.;deont: feelgood;;CB
R_3CEkVAIr6G5AY05;chicken;30;20;The first scenario allowed me to reduce the amount of harm being done to chickens while the second scenario didn't really accomplish anything besides showing general support for the cause and making me feel better about my own actions.;;It is still a way to show support for improving animal welfare.;conseq, deont: feelgood, conseqstill;;CB
R_2dnYcZWAakKCWSM;chicken;10;10;;because that is the set amount that I would pay for premium chickens. It does not matter to me the standards involved in it.;because I would feel better about myself in that I was buying chickens that are treated more humanely;deont: feelgood;;CB
R_21mpk4AoMhvqx6C;chicken;100;100;;I think that this is a matter that will have a positive affect overall. It will be worth the cost in my opinion.;I want to still have a role in making a difference in any way that I can.;conseqstill, deont: ownpart;;CB
R_2dKe1N9sE5U87Zo;chicken;2;0;I would be willing to pay extra to change the welfare standards for the better. I am not willing to pay extra for chickens when the overall standards under which they are raised will remain the same.;;;conseq;;CB
R_2Yo0kpyyfNCDLn8;chicken;5;0;I think my money goes to the direct welfare of the chickens.;;;conseq;;CB
R_3KvGRsbsdnrOPVd;chicken;5;0;in the 2nd seniaro there is no benefit;;;conseq;;CB
R_3IRHsISHzH0ZJx9;chicken;5;0;I would feel better that that chickens would get a better living situation;;;conseq;;CB
R_2usL3cPSitVVbeF;chicken;5;0;I would certainly not be willing to pay extra if it would have no impact on the chicken's wellbeing. I am vegan so I would not pay for or eat meat either way. If I were in that situation though, I would only be willing to pay extra if I felt that there was a chance that the animals' welfare had a chance to be improved through my actions.;;;conseq;;CB
R_3PsPClYhRSTmpMF;chicken;2;2;;I have compassion for the 20 chickens;See above;deont;;CB
R_1oq07vz5xtfqDNa;chicken;10;10;;because at least the animals I was eating were better raised...;because the food i was consuming at least was better raised;deont;;CB
R_25FNiDmcCnDhuQr;chicken;20;10;I am willing to spend $1 more per chicken for better conditions which produce better a product.;;I would pay less so that it would not take the price too far outside of the norm, but still provides for better living conditions.;other;;CB
R_3a3skhQiEVcJGYp;chicken;0;0;;;;;;CB
R_1EiJm7t9fykwqkq;chicken;50;50;;actually both of the first situation is clearly stated and the second situation should follow the same;Because I wish to pay due to make an impact;other;;CB
R_2bI6zo3SjsakXWw;chicken;200;200;;I still will pay a premium to eat chicken that didn't suffer.  I would contribute to take care of my personal actions either way.;Because everyone has to be responsible for their own choices.  I wouldn't want to eat chicken that had been tortured.;deont: ownpart;;CB
R_2BaL6daRg933WZy;chicken;1;1;;It would be providing the same 20 chickens with better living conditions.    I would prefer humanely raised chickens.; I would prefer humanely raised chickens.;deont;;CB
R_2b2letDoSBp3mc2;chicken;100;100;;I would be willing to pay 5.00 more for the certified chicken and I probably would eat less chicken threfore spending less on chicken.;The animals would be treated better with certified chicken.;other;;CB
R_3hGSumSO6Y97pjY;chicken;5;0;Chicken is already getting nuts in pricing. I would pay some more for it, but not much. If it makes no difference why would I be willing to pay more for it?;;;conseq;;CB
R_129hqs4rhOIpCh1;chicken;25;0;If I pay extra to support improved animal welfare standards for 20 chickens and the overall number of chickens raised under better welfare standards does not change, then there is no point in paying the extra fee.;;;conseq;;CB
R_2Qsm8CdUfnUDQXe;chicken;5;5;;If it is the right thing to do in the first case then it seems like that logic should apply to the second case, even if the number of chickens in better living conditions does not change. In other words paying for better conditions for animals is ethical behavior regardless.;Because ethically it is the correct behavior. Just because the total impact is zero on the corporation's side, it still has impact personally since you are acting ethically. You do not get a pass to act unethically just because it has no effect on some other party.;deont: principle;;CB
R_27WhOlIuUr0kNym;chicken;4;5;quality and investing in your health leads to better outcomes. I would not mind spending additional in order to eat more safely if I was to consume chicken as my meat source. I would feel better knowing that my food comes from somewhere that is well kept and in top standards.;;It would also make the demand much lower, which means that it would not be hard to access when wanting to purchase. The impact may not be as great but the increase in price would not make it so popular where there would be a shortage for consumption;other;;CB
R_1kZUI1mpdCrWJ1r;chicken;2;2;;I gave the same answer because the end result is that I would both provide an incentive to the animal welfare certified chicken industry and I would personally benefit from the healthier chicken products.;I would pay more for what I perceive to be the better quality and healthier chicken products.;other;;CB
R_32LTLPNi0RzLkap;chicken;200;150;I try to support animal welfare and better conditions for livestock, but sometimes it seems as if the conditions are only marginally better for a much more expensive product. In the first situation, because I KNOW things are improving, I was willing to spend an extra $10/chicken. In the second situation, knowing it will not make much of a difference, I still want to buy the chicken raised in better conditions, but I'm not willing to pay as much.;;Well I still believe we should treat animals as best we can, so I am still willing to buy the chicken raised in better conditions for more money. I also feel chickens that are less stressed lead to better quality meat.;deont, deont: principle;;CB
R_10PktfRmsMzNEym;chicken;15;0;Because nothing changed;;;conseq;;CB
R_1LHUStHaGXs4np5;chicken;10;0;well for situation 1. the result is clearer and I would know what I am getting. Situation 2 makes no sense to pay for;;;conseq;;CB
R_engEvuTSZsADJFn;chicken;5;0;I chose to pay $0 in scenario 2, because I felt it did not make a difference whether or not I paid a premium. The problem persisted, even though I paid a premium, because the problem was created in a different way.;;;conseq;;CB
R_43ifDsoCa5KxIJP;chicken;20;30;I thought maybe more would make sure the chickens are raised under better welfare standards;; thought maybe the impact would be greater than zero and  the chickens would be raised under better welfare standards;conseqstill;;CB
R_3oz8z8GAmA5eOoi;chicken;50;50;;It would help those twenty chickens and help the national average of abused chickens.;My money will still help those 20 chickens to have better conditions.;conseq, deont;;CB
R_WlFmLCSjIMwgjKh;chicken;10;0;Why would I spend more for no change?;;;conseq;;CB
R_3HSpmfOiQOZYPZe;chicken;1;0;A reasonable person would only pay extra for something if it gave additional value, in this case to the chickens' welfare;;;conseq;;CB
R_2CeUqu4vFP87dY5;chicken;20;0;If I pay a premium, I expect it to apply what was mentioned. Why would I pay a premium if the number of chickens raised under better conditions does not increase?;;;conseq;;CB
R_214J9SSuwCNwgw0;chicken;0;0;;;;;;CB
R_2zDdA8mENiS9o3m;chicken;200;200;;I would want to make sure that my money went to somewhere worthwhile even if the impact would be zero;I would donate in the hope that the donation would influence the future donations to have some impact;conseqstill;;CB
R_1C1p7d8yQvpeqaI;chicken;5;0;I feel like if I am going to donate money that my money should make a difference. In situation 1 it does so I would donate more but in situation 2 it does not so I do not want to add any more of money;;;conseq;;CB
R_2TWNAho7gvT67ug;chicken;15;15;;well i think im willing to spend 15$ to support animal welfare would be much more reasonable;I think we are trying to help animals welfare  so we need to come together  and help solve that issue;other;;CB
R_1pEf8pyzXigCjE0;chicken;20;5;I would want to see an impact and so I would search elsewhere if that couldn't be assured;;"In support of the company in the hope that they will have a positive outcome in the future
";conseq, conseqstill;;CB
R_wZrvbDlyqj4rcQN;chicken;40;40;;I would be improving the lives of the chickens that I was paying a premium for, not changing the entire system myself.;I am only improving the lives of the particular chickens, not changing the entire system.;deont: ownpart;;CB
R_1OIelwDMa5eWJee;chicken;30;20;Situation has a bit more of a better outcome while the second situation is mainly static.;;Just to be safe and cautionary and testing the water.;other;;CB
R_3eluWaDpHryfvLQ;chicken;1;0;"In the second situation, unless I'm misreading, there are no direct ""consequences"" for paying more. Given the circumstances, it just doesn't make sense to pay more since it doesn't help or benefit animal welfare.";;;conseq;;CB
R_3QFWcV1I8XnoXPK;chicken;1;0;If it's not going to make a difference, then there is no reason to spend extra money.;;;conseq;;CB
R_WqTj0VVKqMgxGCJ;chicken;0;0;;;;;;CB
R_AmqdKjRnbOTJcWZ;chicken;50;0;Because in scenario 1 it made a difference, but in scenario 2 it didn't matter. There's no reason to spend more if it doesn't matter.;;;conseq;;CB
R_1dsIc301iW09isr;chicken;2;0;It makes a big difference if I know that there will be improvements to the living conditions of the chickens.  I'm not willing to sacrifice if there will be no positive impact.;;;conseq;;CB
R_3MMriSqjH9LqukH;chicken;3;0;In order for me to pay more for certified chicken, I need to know that things actually will get better for the chickens. I want to know that my money is actually applying towards a good purpose, otherwise there is no point to pay more. It would be great if more people could support the poorly raised chickens, so the farmers get more money and could afford to give those chickens a better lifestyle.;;;conseq;;CB
R_3F5aZBeZqvoOggg;chicken;20;0;"If what I give does not help the overall certified chickens, why do it? Where is the money going if it doesn't help the purpose for which it was asked for?

If my money does help, then of course it would help make a positive change.";;;conseq;;CB
R_3jUTTIQEw2kZpP6;chicken;20;5;I would be willing to pay more if that actually made a difference.;;I would still feel guilty about consuming the chickens raised in poor conditions, so I might pay a little more to buy the ethically raised ones.;conseq, deont: principle;;CB
R_1rpGi1Rsc1Qmea2;chicken;5;0;If I knew that nothing was going to change i would not want to pay more. Everything is so expensive these days, unfortunately i am not in a place to pay for better quality meat.;;;conseq;;CB
R_2YyRpYwreWVPYAG;chicken;5;10;I feel responsible for doing so. I think If I contribute to it, then it will be an honest good deed.;;Actually I don't think about the consequences. I feel that my contribution will impact the situation. Therefore, I am trying to do so.;deont: ownpart;;CB
R_3s7kEksFWXV6KVJ;chicken;2;0;I assume by paying 0 extra I just help maintain my support for wanting to consume chickens that are raised in a healthier fashion, but I see no need to pay more if by paying more it does nothing to help the chickens.;;;conseq;;CB
